Url,Name,Price,Rating,No of Reviews,Description,Manufacturer,ASIN,Product Description
/DZert-Fabric-Multicolour-Spiderman-Printed/dp/B07BNS3KNX,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),239,3.8,"(1,399)"," Non-toxic and soft fabric made from safe materials to be used by kids and Washable   Soft And Cuddly Filling & Embroidery work Soft Toy School Bag For Kids, Travelling Bag, Carry Bag, Picnic Bag, Teddy Bag   Very Attractive To Make You Have A Good Feeling All The Time, Gift this soft, smooth and cuddly teddy as a great gift to your loved one   color :- Red, Size :- 38 x 34 x 8 and Bag capacity is 10L  ",Rushi Enterprise,B07QD1M3R9,"Whether Your Toddler or Kid Is Heading Off To School Or Going On Their First Big Adventure, Your Little One Will Love Carrying Their Very Own Backpack. Features Include Roomy Main Zipper Pocket, Handle, Adjustable Shoulder Straps. Perfect For Preschool, Daycare, Hiking And Day Trips. A Perfect Backpack For Toddlers Headed To Preschool Or Daycare.The toddler bag has one small front pocket and the main compartment. You can put some small children's things in it, like Books, small books, pens, etc. Super cute pattern and design will make your small preschool or grade school children excited to head off to school with this bookbag! Also ideal for going to the zoo, playing at the park, traveling and any other outdoor activities.Fashionable, light-weight, soft and colorful. Perfect gift for baby toddler children. This cute Elephant casual shoulder bag is made of soft plush material. The zipper of this bag is so it is durable. The zips glide easily and have a good-sized grip part that is easy for little fingers to use.The toddler backpack features a friendly Cartoon Face, top hanging loop, crafted details and a fun, matching zipper pull that’s designed for little hands.The toddler backpack features with two adjustable shoulder straps and a top handle fit small children of all ages, and allows you to comfortably and easily adjust this backpack to fit boys and girls of different sizesThis eye catching cool design Fashionable, light-weight, soft and colorful. Perfect gift for baby toddler children"
/Gear-Ltrs-Casual-Backpack-MDBKPECO50504/dp/B0757K36YV,Gear Moderneco5 21L Water Resistant School Bag/Backpack/College Bag For Men/Women - Navyblue,440,3.9,"(2,527)"," Outer Material: Polyester, Color: Blue   Water Resistance: Water resistant   Capacity: 20 liters; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)   Number of compartments: 1; Laptop Compatibility: No, Strap Type: Adjustable   Special Features: Laptop Compartment; Closure Type: Zipper; Pocket Description: Utility Pocket; Style Name: Traditional Backpacks; Age Range Description: Adult  ",Gear Merchandise PVT LTD,B0757K36YV,
/ADISA-Laptop-Backpack-Office-College/dp/B0BPTT2HZY,ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Navy),599,4.0,(31), Material: Water Resistant Strong Polyester   Compartments: 2 with padding   Laptop Size: 15.6 inch and below   Dimensions: LxWxH - 11 x 6 x 18 inches   Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders / Padded Top Handle / Rain Cover  ,ADISA,B0BPTT2HZY,"High Quality large and spacious laptop backpack with 2 compartments and 2 front easy-access pockets. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort. It comes with a full sized rain cover.Adjustable Padded Shoulder Straps2 Large compartment with paddingWater Resistant Strong Polyester"
/Shoulder-Backpacks-Crossbody-Backpack-Daypacks/dp/B07TT79C33,"AH Arctic Hunter Slim Sling Bags, Chest Shoulder Bag,Sling Backpacks Outdoor Crossbody Backpack Thin Daypacks for Travel with Earphone Port Men Women","1,329",4.4,(645)," [Small size,large capacity] --Only 30*26.5*2.5 CM, Large zippered pocket is for Tablets. Small zippered pocket for phones, power bank, wallet or outdoor/travel sundries.   [Suitable women & men]--the shoulder strap length of this chest bag to 30.7-39.3 inch, which means no matter your body is skinny or fat, it can fit in your body perfectly.   [Multi-functional storage area]--accessory compartment with functional pockets keep power cord, mouse, books, papers etc. Can be used messenger bag / shoulder bag / crossbody backpack / casual daypack / sling bag / chest bag / travel bag / working or business bag, suitable for office, school, outdoor, business and other occasions.   [FIT THE BODY]--Ergonomically designed sling backpack, freely adjustable shoulder strap length, fit your body effectively and make your life more comfortable.This chest bag has an ultra-thin design that can be effectively adapted to everything. Does not add extra size while still maintaining a stylish look.""   [Good for Traveling]--A very Nice Bag for Traveling: It can keep your maps, phone, money, cards, and little souvenirs. It was easy to swing the bag around to your side in busy crowds, or to reach for something in the bag without taking it off. The material and color are beautiful and gender friendly. If you are looking for something comfortable, practical, inexpensive, versatile, to carry, this is your bag.Please buy Original Product from Hoteon Trading Pvt. Ltd.,  ",ah arctic hunter,B07TT79C33,
/F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9,F Gear String 11 Ltrs Nylon Black Gym Bag,189,4.0,(436), Lightweight gym bags   Ergonomic Design   Durable   Size-(Hxlxw) Cm-(43x32x2) Cm::Gym Bags   Drawstring closure  ,1 October 2015,Uber Fashion Merchandise Pvt. Ltd.,"This F Gear backpack has one compartment and is secured with a  drawstring closure. This backpack is perfect for athletes, swimmers, and  kids. This backpack cannot be used as a school bag."
/wolpin-Waterproof-Messenger-Crossbody-Shoulder/dp/B0B7SL3KCS,wolpin Waterproof Oxford cloth Messenger Bag Sling Bag for Men & Women Crossbody Small Shoulder Chest Anti Theft Travel Personal Pocket Bag Casual Backpack (Black),329,3.5,(11)," Keep Everything Organised: The front zipper bag and buckle bag allow you to store iPad mini, iPhone, power banks, etc. This crossbody chest bag has several separate small compartments inside to effectively keep your small items like makeup, tissue, keys, umbrella and so on handy. The shoulder strap and the back is made of breathable material, make you feel comfortable when travel, hiking and so on.   Material & Size: Nylon wit Polyester lining, 17 x 5 x 32 cm   Package Content: Crossbody Sling Backpack   Adjustable Reversible Shoulder Strap: Crossbody Sling Backpack, Sling Bag Travel Hiking Chest Bag Daypack can be used for school, college, hiking, travelling or daily use. It's made of nylon, Water proof, scratch resistant, wear resistant. The adjustable shoulder strap can be connected with the left or right D-ring for your preference so that it is convenient to wear on your left or right shoulder.   Earphone Slot: There is an earphone slot on the front, providing easy access to your earphones so you can enjoy music anytime and anywhere., or can also be used to charge your phone with power bank inside your chest bag.  ",WOLTOP INDIA PVT LTD,B0B7SL3KCS,
/Boldfit-Travel-Accessories-Purse-Mobile/dp/B0BJZQ3ZR9,Boldfit Waist Bag for Men Travel Bag for Men Chest Bag for Men Travel Fanny Pack for Men Waist Bag for Women Side Bag for Men Travel Accessories/Pouch/Hand Purse. Mobile Bag/Money Bag - Black,299,4.7,(378)," CHEST BAG FOR MEN: Best Gifts for Women Men, Enjoy Various Activities and Festival Hands-Free. The Fanny Pack for women is perfect for most people carry the most needed items, include phone, passport, keys, ID and other small items.   LARGE CAPACITY & CONVENIENT: Our travel fanny packs is well constructed with 3 separate pockets, ideal to organize your essentials separately.   MUTI-FUNCTIONAL: Our waist pouch for men is lightweight comfortable waist bag perfect for shopping, travelling, festivals, at theme parks, Great for jogging, dog walking, cycling, hiking and other outdoor activities.   DURABLE MATERIAL: Waist bag for men made of best fabric, the fanny pack for men is sturdy and long-lasting usage. Our chest bag for women have smooth zippers ensure users to have quick access to the items.   ADJUSTABLE STRAP: Adjustable nylon strap fits for all waist size, making the bum bag ideal for men, women and teenagers. can be carried like a pouch bag for men, crossbody bag, shoulder bag or a small sling chest bag.  ",Boldfit,B0BJZQ3ZR9,
/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,709,4.2,(431)," Gift your shoulders and back the comfort of the AmazonBasics - Casual Backpack/Office Bag   It has 2 large compartments and 2 side pockets   Well-padded interior that keeps your laptop safe   Enough space for your other daily essentials like chargers, wallet, power bank, etc.   Compact and sleek design   Well-cushioned shoulder straps   Dimensions: LxWXH: 47 X 33 X 15 cm   Weight: 0.460 grams  ›",Flab internatioanl private limited,B09W4VMZ79,
/ADISA-SL5038-women-girls-sling/dp/B08Q4FHQLN,ADISA Women's Sling Bag,595,4.0,"(2,619)", Outer Material : PU / Synthetic Leather   Closure : Turn Lock; Compartments: 1; Pockets: 1   Dimensions : L x W x H - 8.1 x 2.75 x 6 inches   Inner Material Type : Polyester   Age Range Description : Adult; Outer Material Type: Polyurethane  ,ADISA,B08Q4FHQLN,"Box shaped block colored sling bag with gold twist lock made in PU. The sling belt is height adjustable to suit girls and women of all heights and ages. Comes in various colors, it is a very new and fresh design must for your bags collection. it has 1 main spacious compartment with vanity pocket. A beautiful sling perfect for parties and clubbing, or for casual daily use.This sling bag from the house of ADISA is made from synthetic PU material. This sling is perfectly sized to store your belongings and essentials. Its spacious enough to store all your essentials with ease. The bag has all gold fittings which add to the styling of the bag.Handle provided on the top so that the bag can be carried in hand or wrist.1 main compartment makes storing you essentials very convenient.Contrast color flaps and 2-tone pattern makes the bag look so trendy.It comes with detachable sling belt which is height adjustable."
/Shalimar-Capacity-Travel-Storage-Duffel/dp/B09TPHFMX7,"SHALIMAR large capacity Travel bag / Storage bag / Move-in bags/ Duffel Bag - Strong, Durable , Foldable and Water Resistant ( Pack of 1 ) ( Blue )",246,4.0,(309), Easy Backpack to carry<br><br>   Convenient Handles<br><br>   Easy to fold and Store<br><br>   Sturdy and Durable<br><br>   Closure Type: Zipper; Strap Type: Adjustable; Handle Type: Web Handle<br>  ,"Vikrant Extrusion , Daman",B09TPHFMX7,"""Shalimar Group"" is a four decade old company based on manufacturing of plastic packaging products used for Retail and Industrial market. In the retail market, we are the leading manufacturer of Storage as well as Travel Bags and Other Utility Bags. We have our presence across India. 'Quality', 'Value' and 'Goodwill' are the three core words that govern our activities; these define our image, hard work, enhanced qualitative thinking and help us to develop products for customers seeking quality, dependability and excellence. We believe in providing great service to our customers, therefore any query regarding our products feel free to reach out to us.Long carry handles as well as additional backside strap that allows you to carry like a backpack. these bags can be folded up completely flat and into a small size for easy storage. These extra-large bags are great for storing, transporting and organising all items from clothes, toys, shoes, supplies etc. These bags are perfect for travelling when you have extra stuff which won't fit in your luggage."
