Url,Name,Price,Rating,No of Reviews
/ASTRID-Round-Textured-Magical-Maroon/dp/B09DCTPZ2Q,ASTRID Round Textured Sling Bag For Girls With Zip,399,3.8,(197)
/ALIZA-Womens-Tote-Bag-Tan/dp/B08JHMJK8K,ALIZA Women's Tote Bag,423,4.0,"(7,854)"
/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q,Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,834,4.0,"(5,130)"
/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",799,4.1,(493)
/YuvKuz-TM-Infocus-Digitizer-Assembly/dp/B07MXNWTB2,Lavie Women's Nova Tote Bag | Ladies Purse Handbag,989,4.2,"(7,453)"
/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,239,4.0,"(3,114)"
/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,790,4.1,"(1,044)"
/Resistant-Photography-Accessories-Compatible-Panasonic/dp/B0BRJLWQ6R,"DYAZO Water Resistant Camera Bag/Case Shoulder Strap Space for Photography Lens and Accessories Compatible for Nikon, Canon, Sony, Panasonic, Samsung & Other SLR/DSLR etc (Black & Silver)",699,4.7,(62)
/Lavie-Beech-Womens-Satchel-Handbag/dp/B096KTWTXC,Lavie Women's Beech Satchel Bag | Ladies Purse Handbag,"1,389",4.2,"(3,768)"
/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",652,4.4,"(2,724)"
/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y5S6C2P,"Tabelito® Casual Laptop Bag 15.6inch (39.6 cm) , 25 LTR Office College School Bags Business Travel Backpack for Men Women Water Resistant Bags(BLACK)",549,4.2,"(1,597)"
/Nivia-5227-Pulse-Junior-Others/dp/B08D7QG33Z,"Nivia 5227 Pulse Junior Bag, Others (Orange) (Sky Blue)",294,3.8,(155)
/Wooum-Resistant-Material-Messenger-Compartment/dp/B09KV7Y3KL,Wooum Water Resistant Material Sling Bag/One Side Bag/Shoulder Bag/Messenger Bag/Office Messenger Bag/Travel Side Bag with 14.1 Inch Laptop Compartment -,474.,3.9,(220)
/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP,AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE_0521_Black),376,4.3,"(8,907)"
/Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit,529,4.2,"(3,762)"
/Vivinkaa-Womens-Sling-Bag-Blue/dp/B077WSKG53,"Vivinkaa Sling Bag for Women stylish Latest Branded, Sling Bag Women, Sling Bags for Women I Ethnic Printed Purse for women, Indigo",499,3.8,"(1,811)"
/ADISA-Women-Girls-Floral-SL5072-CRE_Cream/dp/B09B56BCXR,ADISA Women Girls Floral Print Sling Bag,495,4.2,"(1,208)"
/ADISA-Laptop-Backpack-College-z-Black/dp/B09TPY1G1W,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Black),499,3.8,(566)
/Nivia-String-5177NB-Polyester-Navy/dp/B071H3HLVV,Nivia Polyester String Bag,193,4.1,(992)
/Storite-Leather-Sling-Coffee-Brown/dp/B0983N9GXN,"Storite Stylish Small PU Leather Sling Cross Body Travel Office One Side Shoulder Bag for Men Women (25 cm x 11 cm x 20 cm, Coffee Brown)",799,4.0,(557)
/VIP-Endura-Puller-Brown-Duffle/dp/B0B527KJQZ,VIP Polypropylene 48 Cms Travel Bag(DFENDEBRN_Brown),899,4.3,(404)
/Half-Moon-Travelling-Rucksack-Compartment/dp/B09WDGZ32L,Half Moon 55 litres Travelling Laptop Bag/Rucksack Backpack for Luggage Travel Journey Trekking Hiking Bags for Men Women Boys and Girls with Laptop Compartment & Rain Cover,979,4.0,(330)
/Li-Ning-Panther-Double-Polyester-Badminton/dp/B09VDQDXWN,Li-Ning Panther Double Zipper Polyester Badminton Kit Bag,999,4.3,(314)
/Jaden-Black-Theft-Waterproof-Backpack/dp/B07B1TFJ7M,FUR JADEN 15.6 Anti Theft Laptop Backpack with USB Charging Port Unisex Bag for College Office Suitable for Men Women,789,4.0,"(5,804)"
/NETTIE-Cotton-Carry-Strap-Drawstring/dp/B08LBT1R9J,NETTIE Cotton Carry Bag with Strap and Drawstring for Yoga Mat- Big Size,198,4.1,"(1,004)"
/Amazon-Brand-Solimo-Sling-Maroon/dp/B07S63LC4P,Amazon Brand - Solimo Sling Bag (Maroon),219,3.9,(239)
/Dell-Pro-Slim-Backpack-15/dp/B07PMQTB6T,"Dell Pro Slim Backpack 15 - PO1520PS - Fits Most laptops up to 38.1 cm (15 inches, Black)","1,599",4.3,(397)
